'ПОТРЕБИТЕЛЬСКИЙ ЖИЛИЩНО-СТРОИТЕЛЬНЫЙ КООПЕРАТИВ " ЛУНА"'|'ЖСК " ЛУНА"'|'432061, Ульяновская обл, р-н Засвияжский, г Ульяновск, ул Пушкарева, д. 62'|'Ульяновская обл, г. Ульяновск, ул. Пушкарева, д. 62'|'7327014420'|''
'ПОТРЕБИТЕЛЬСКОЕ ОБЩЕСТВО ЖИЛИЩНО - СТРОИТЕЛЬНЫЙ КООПЕРАТИВ "МАЙСКИЙ"'|'ЖСК "МАЙСКИЙ"'|'432066, обл УЛЬЯНОВСКАЯ, г УЛЬЯНОВСК, ул КОРУНКОВОЙ, д. 7, кв. 49-96'|'Ульяновская обл, г. Ульяновск, ул. Корунковой, д. 7'|'7327014501'|''
'ПОТРЕБИТЕЛЬСКИЙ КООПЕРАТИВ ЖИЛИЩНО-СТРОИТЕЛЬНЫЙ КООПЕРАТИВ  "МАРС"'|'ЖСК "МАРС"'|'432054, ОБЛАСТЬ УЛЬЯНОВСКАЯ, ГОРОД УЛЬЯНОВСК, УЛИЦА ЕФРЕМОВА, д. 109'|'Ульяновская обл, г. Ульяновск, ул. Ефремова, д. 109'|'7327014621'|''
'ПОТРЕБИТЕЛЬСКИЙ ЖИЛИЩНО - СТРОИТЕЛЬНЫЙ КООПЕРАТИВ "МАШИНОСТРОИТЕЛЬ"'|'ЖСК "МАШИНОСТРОИТЕЛЬ"'|'432034, ОБЛ УЛЬЯНОВСКАЯ, Г УЛЬЯНОВСК, Ш МОСКОВСКОЕ, д. 61'|'Ульяновская обл, г. Ульяновск, ш. Московское, д. 61'|'7327015223'|''
'ПОТРЕБИТЕЛЬСКОЕ ОБЩЕСТВО ЖИЛИЩНО-СТРОИТЕЛЬНЫЙ КООПЕРАТИВ  "МЕЧТА"'|'ЖСК "МЕЧТА"'|'432013, Ульяновская обл, г Ульяновск, ул Промышленная, д. 74'|'Ульяновская обл, г. Ульяновск, ул. Промышленная, д. 74'|'7327014283'|''
'ЖИЛИЩНО-СТРОИТЕЛЬНЫЙ КООПЕРАТИВ ПОТРЕБИТЕЛЬСКИЙ КООПЕРАТИВ " МИР "'|'ЖСК " МИР "'|'432034, ОБЛАСТЬ УЛЬЯНОВСКАЯ, ГОРОД УЛЬЯНОВСК, УЛИЦА ПОЛБИНА, д. 33'|'Ульяновская обл, г. Ульяновск, ул. Полбина, д. 33'|'7327014438'|''
'ЖИЛИЩНО-СТРОИТЕЛЬНЫЙ КООПЕРАТИВ "МОТОРОСТРОИТЕЛЬ"'|'ЖСК "МОТОРОСТРОИТЕЛЬ"'|'432012, Ульяновская обл, р-н Железнодорожный, г Ульяновск, ул Клубная, д. 12'|'Ульяновская обл, г. Ульяновск, ул. Клубная, д. 12'|'7326007371'|''
'ПОТРЕБИТЕЛЬСКИЙ  КООПЕРАТИВ  ЖИЛИЩНО - СТРОИТЕЛЬНЫЙ  КООПЕРАТИВ  "НАБЕРЕЖНЫЙ "'|'ЖСК "НАБЕРЕЖНЫЙ "'|'432049, ОБЛАСТЬ УЛЬЯНОВСКАЯ, Г. УЛЬЯНОВСК, УЛ. АРТЕМА, д. Д.7 / 59, к. --------------------, кв. -------------------'|'Ульяновская обл, г. Ульяновск, ул. Артема, д. 7/59'|'7327014565'|''
'ПОТРЕБИТЕЛЬСКИЙ КООПЕРАТИВ ЖИЛИЩНО-СТРОИТЕЛЬНЫЙ КООПЕРАТИВ "НАДЕЖДА"'|'ЖСК "НАДЕЖДА"'|'432029, Ульяновская обл, г Ульяновск, ул Кузоватовская, д. 12/3'|'Ульяновская обл, г. Ульяновск, ул. Кузоватовская, д. 12/3'|'7327016629'|''
'ЖИЛИЩНО-СТРОИТЕЛЬНЫЙ КООПЕРАТИВ "НОВИНКА"'|'ЖСК "НОВИНКА"'|'432048, ОБЛАСТЬ УЛЬЯНОВСКАЯ, Г. УЛЬЯНОВСК, УЛ. 12 СЕНТЯБРЯ, д. Д.85'|'Ульяновская обл, г. Ульяновск, ул. 12 Сентября, д. 85'|'7326007389'|''
